alpha,n,time_seconds_mean,time_seconds_std
0.1,10,0.003329180006403476,0.00025822956860128347
0.1,11,0.0064652200089767575,0.0005698538839741063
0.1,12,0.011740639980416745,0.0005203291425710662
0.1,13,0.024701419984921813,0.00459638841621229
0.1,14,0.05960592001210898,0.003282721829517108
0.1,15,0.11749094001716003,0.008727118279968783
0.1,16,0.2198897200054489,0.01518167616936649
0.1,17,0.44948694001650435,0.02525079942147668
0.1,18,0.9924599800026044,0.027422730059771066
0.1,19,1.9638288000132889,0.07378416392065422
0.1,20,3.930390000005718,0.11538755495931086
1.0,10,0.0027537799905985594,0.0001256285136202696
1.0,11,0.005802379990927875,8.820500822913439e-05
1.0,12,0.012555280001834035,0.0009019227646523886
1.0,13,0.025112439994700253,0.0024134412034877784
1.0,14,0.055880560004152355,0.0012669249045540734
1.0,15,0.1194143799948506,0.012059380809221707
1.0,16,0.230430260009598,0.017459984123858706
1.0,17,0.4828551599988714,0.00706547719071026
1.0,18,1.0019732399960048,0.020877076236152887
1.0,19,1.9728863199939952,0.09518542033098149
1.0,20,4.297433679981623,0.132500060322199
5.0,10,0.0025491400039754806,0.00020988975773962655
5.0,11,0.005349119997117668,0.0005093412425465426
5.0,12,0.01094123999355361,0.000260232804979538
5.0,13,0.023131640010979025,0.0018126133477058737
5.0,14,0.05080389999784529,0.0037058391527479387
5.0,15,0.11432543999981135,0.005670374177481614
5.0,16,0.2490412199869752,0.02416693637324251
5.0,17,0.5485075400094501,0.0382076144683728
5.0,18,1.1248204399948007,0.07907181004898908
5.0,19,2.2097803000127896,0.07607322061178487
5.0,20,4.845413159986492,0.38293631082010726
