alpha,n,EFT_mean,EFT_std,EST_mean,EST_std,SD_mean,SD_std,Optimal
0.1,4,1.0,0.0,0.95,0.1538967528127731,0.975,0.11180339887498951,1.0
0.1,6,1.0,0.0,0.8333333333333333,0.23570226039551587,0.9,0.20519567041703082,1.0
0.1,8,1.0,0.0,0.7666666666666666,0.2615741818902985,0.8083333333333332,0.25520889276702025,1.0
0.1,10,1.0,0.0,0.7125,0.2669338026004954,0.7249999999999999,0.22474807208613104,1.0
0.1,12,1.0,0.0,0.745,0.24375834068800756,0.6716666666666666,0.2010280594886057,1.0
0.1,14,1.0,0.0,0.6983333333333333,0.20724452320305312,0.6058333333333333,0.25508139969005234,1.0
0.1,16,1.0,0.0,0.7433333333333334,0.18172339368629864,0.6108333333333333,0.19766731753391262,1.0
0.1,18,1.0,0.0,0.6628571428571429,0.15552328616922936,0.5826190476190477,0.16981997305557933,1.0
0.1,20,1.0,0.0,0.7321428571428571,0.15326050201373898,0.5470238095238096,0.16616263743395218,1.0
1.0,4,1.0,0.0,1.0,0.0,0.6458333333333333,0.1831238835464839,1.0
1.0,6,1.0,0.0,0.9875,0.055901699437494734,0.5974999999999999,0.24722287929474415,1.0
1.0,8,1.0,0.0,0.9533333333333334,0.08335087534664906,0.4376190476190476,0.16786243081665228,1.0
1.0,10,1.0,0.0,0.99375,0.027950849718747367,0.3476190476190476,0.17315727170615428,1.0
1.0,12,1.0,0.0,0.9949999999999999,0.02236067977499789,0.3436002886002886,0.12001688816796054,1.0
1.0,14,1.0,0.0,0.985909090909091,0.03445657162869885,0.2998917748917748,0.07729254481618875,1.0
1.0,16,1.0,0.0,0.9683080808080808,0.05995729201199096,0.2827933177933178,0.12277354694971095,1.0
1.0,18,1.0,0.0,0.9721520146520147,0.04564962745040767,0.2872177822177822,0.1076943415867407,1.0
1.0,20,1.0,0.0,0.9841450216450218,0.040124453593217674,0.2587086442968796,0.12272480561270174,1.0
5.0,4,1.0,0.0,1.0,0.0,0.5333333333333332,0.15150318932045295,1.0
5.0,6,1.0,0.0,1.0,0.0,0.4683333333333334,0.15727020737779604,1.0
5.0,8,1.0,0.0,1.0,0.0,0.38750000000000007,0.16702320439263937,1.0
5.0,10,1.0,0.0,1.0,0.0,0.29833333333333334,0.12017287742180535,1.0
5.0,12,1.0,0.0,1.0,0.0,0.28098484848484845,0.12081421431340474,1.0
5.0,14,1.0,0.0,1.0,0.0,0.2780636030636031,0.10289117248713747,1.0
5.0,16,1.0,0.0,1.0,0.0,0.24703296703296704,0.08945273957395422,1.0
5.0,18,1.0,0.0,1.0,0.0,0.2316258169934641,0.11291384480425976,1.0
5.0,20,1.0,0.0,1.0,0.0,0.16567939456484346,0.07167631624562512,1.0
